id,role,industry,experience_level,years_experience,education_level,resume_text,technical_skills,project_count,certification_count,github_projects,salary_expectation,location,selected,interview_score,ats_score,culture_fit_score
518,Cloud Architect,E-commerce,Mid,5,Master,"Experienced Cloud Architect with 3 years in software development. Proficient in JavaScript, SQL, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Architect', 'Led', 'Cloud', 'Experienced']",4,0,0,63514,Remote,True,0.8597774305384931,65,0.7388486920855246
519,Cloud Architect,Healthcare,Mid,11,Master,"Experienced Cloud Architect with 3 years in software development. Proficient in JavaScript, Python, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Architect', 'Led', 'Cloud', 'Experienced']",7,4,8,30117,Hybrid,False,0.8916640349491303,89,0.5980424648295475
520,Frontend Developer,Manufacturing,Lead,13,PhD,"Experienced Frontend Developer with 5 years in software development. Proficient in Angular, CSS, JavaScript, React. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['React', 'Strong', 'Proficient', 'Angular', 'Frontend', 'Developer', 'Led', 'Experienced']",9,4,0,65434,Hybrid,False,0.6804692159621485,87,0.4172373919703488
521,ML Engineer,Healthcare,Principal,9,High School,"Experienced ML Engineer with 6 years in software development. Proficient in Kubernetes, TensorFlow, Docker, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Experienced', 'Python', 'Strong', 'Proficient', 'Docker', 'Engineer', 'Led', 'Kubernetes']",4,2,6,125523,On-site,False,0.9789566979429793,67,0.895628323287706
522,Product Manager,Healthcare,Principal,10,Bachelor,"Experienced Product Manager with 6 years in software development. Proficient in Python, SQL, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Led', 'Product', 'Manager', 'Experienced']",9,2,14,42085,On-site,False,0.8918724186866487,41,0.7962080615187197
523,UI/UX Designer,Healthcare,Junior,13,Master,"Experienced UI/UX Designer with 2 years in software development. Proficient in SQL, JavaScript, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Designer', 'Python', 'Strong', 'Proficient', 'Led', 'Experienced']",3,2,6,144865,Remote,True,0.5036042227932724,92,0.8030399629042122
524,UI/UX Designer,Finance,Principal,11,Bachelor,"Experienced UI/UX Designer with 6 years in software development. Proficient in JavaScript, Python, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Designer', 'Python', 'Strong', 'Proficient', 'Led', 'Experienced']",3,4,8,39871,On-site,False,0.897266658106773,52,0.45655889355193047
525,Android Developer,Healthcare,Mid,6,Master,"Experienced Android Developer with 3 years in software development. Proficient in Python, SQL, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Android', 'Experienced']",9,3,7,145233,Hybrid,False,0.8271535906647212,88,0.6601073655709118
526,Full Stack Developer,Healthcare,Mid,3,Bachelor,"Experienced Full Stack Developer with 3 years in software development. Proficient in Python, JavaScript, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Full', 'Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Stack', 'Experienced']",8,3,16,74763,Hybrid,False,0.8730577304352785,42,0.47171360592048833
527,Data Engineer,Technology,Lead,9,High School,"Experienced Data Engineer with 5 years in software development. Proficient in SQL, Python, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Data', 'Strong', 'Proficient', 'Engineer', 'Led', 'Experienced']",5,0,15,133221,Remote,False,0.8678160806420951,73,0.7502337285149492
528,Cloud Architect,E-commerce,Entry,13,Bachelor,"Experienced Cloud Architect with 1 years in software development. Proficient in SQL, JavaScript, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Architect', 'Led', 'Cloud', 'Experienced']",2,2,2,142561,Hybrid,True,0.6526307229294328,48,0.7835221297212982
529,DevOps Engineer,Technology,Junior,0,High School,"Experienced DevOps Engineer with 2 years in software development. Proficient in Docker, AWS, Jenkins, Kubernetes. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Jenkins', 'Kubernetes', 'Strong', 'Proficient', 'Docker', 'Engineer', 'Led', 'Experienced']",6,4,2,59612,Remote,False,0.6747318848204817,65,0.6779239599721354
530,UI/UX Designer,Manufacturing,Junior,1,Bachelor,"Experienced UI/UX Designer with 2 years in software development. Proficient in Python, JavaScript, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Designer', 'Python', 'Strong', 'Proficient', 'Led', 'Experienced']",3,3,8,55244,Hybrid,False,0.6185481303579363,61,0.6711199148034646
531,Security Engineer,Manufacturing,Principal,2,PhD,"Experienced Security Engineer with 6 years in software development. Proficient in SQL, Python, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Engineer', 'Led', 'Security', 'Experienced']",5,2,15,49926,Hybrid,False,0.7229781884786812,43,0.6042915202814971
532,Android Developer,E-commerce,Entry,5,High School,"Experienced Android Developer with 1 years in software development. Proficient in SQL, JavaScript, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Android', 'Experienced']",8,2,11,116847,On-site,False,0.4455855533370986,42,0.8722797003084337
533,Backend Developer,Healthcare,Lead,11,Bachelor,"Experienced Backend Developer with 5 years in software development. Proficient in Python, Django, PostgreSQL, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Backend', 'Django', 'Experienced']",3,0,0,127480,On-site,False,0.40448507271298645,46,0.8993428080692797
534,QA Tester,Healthcare,Junior,2,Bachelor,"Experienced QA Tester with 2 years in software development. Proficient in JavaScript, Python, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Tester', 'Led', 'Experienced']",9,1,2,123603,Remote,False,0.7065951704997293,91,0.4725703483782464
535,Data Scientist,Education,Entry,2,High School,"Experienced Data Scientist with 1 years in software development. Proficient in NumPy, Tableau, TensorFlow, Scikit-learn. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Data', 'Strong', 'Scientist', 'Scikit', 'Proficient', 'Led', 'Tableau', 'Experienced']",9,0,16,121701,On-site,True,0.8827413324560525,74,0.47331877809099604
536,Data Engineer,Education,Lead,9,Bachelor,"Experienced Data Engineer with 5 years in software development. Proficient in SQL, JavaScript, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Data', 'Strong', 'Proficient', 'Engineer', 'Led', 'Experienced']",1,3,16,79498,Hybrid,False,0.8855758199195316,57,0.7333283690789762
537,Android Developer,Finance,Lead,0,PhD,"Experienced Android Developer with 5 years in software development. Proficient in SQL, JavaScript, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Android', 'Experienced']",1,3,3,146623,On-site,False,0.809500120370253,65,0.5012819272927709
538,Security Engineer,Education,Junior,11,PhD,"Experienced Security Engineer with 2 years in software development. Proficient in JavaScript, Python, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Engineer', 'Led', 'Security', 'Experienced']",2,4,6,122322,Remote,False,0.44024575974302205,59,0.4980555770488299
539,Security Engineer,Healthcare,Principal,5,Master,"Experienced Security Engineer with 6 years in software development. Proficient in JavaScript, SQL, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Engineer', 'Led', 'Security', 'Experienced']",8,2,1,71821,Remote,False,0.811313217308365,47,0.9901975740967623
540,Android Developer,Finance,Entry,0,PhD,"Experienced Android Developer with 1 years in software development. Proficient in JavaScript, Python, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Android', 'Experienced']",1,1,9,55142,Hybrid,True,0.563683452854048,94,0.8727531455613897
541,Full Stack Developer,Healthcare,Lead,5,PhD,"Experienced Full Stack Developer with 5 years in software development. Proficient in JavaScript, SQL, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Full', 'Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Stack', 'Experienced']",8,0,19,98796,On-site,False,0.9615219281599934,89,0.661391006497702
542,Backend Developer,Finance,Entry,11,Bachelor,"Experienced Backend Developer with 1 years in software development. Proficient in Node.js, Python, Java, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Node', 'Strong', 'Proficient', 'Developer', 'Led', 'Backend', 'Java']",6,0,16,92864,On-site,False,0.7315719815907067,56,0.8360425876627161
543,Project Manager,E-commerce,Senior,0,Master,"Experienced Project Manager with 4 years in software development. Proficient in JavaScript, SQL, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Project', 'Python', 'Strong', 'Proficient', 'Led', 'Manager', 'Experienced']",6,2,17,36110,Hybrid,False,0.3259760159657298,89,0.4042856025146585
